date		Biden	Trump
20190321		50.0	43.0
20190328		54.8	45.2
20190514		53.0	42.0
20190613		43.0	42.0
20190909		45.0	41.0
20191025		46.7	43.96
20191109		52.0	43.0
20191205		41.24	45.48
20200218		50.0	42.0
20200220		46.0	45.0
20200307		43.77	45.44
20200308		46.0	40.0
