date	Sanders		Trump
20190317	52.1		47.9
20190321	48.0		41.0
20190418	49.0		42.0
20190613	47.0		40.0
20190829	48.0		44.0
20190909	49.0		43.0
20191002	45.0		40.0
20191017	48.0		46.0
20191026	47.44		45.48
20191117	45.0		48.0
20191205	37.62		50.95
20191208	45.0		47.0
20200108	46.0		42.0
20200112	47.0		46.0
20200116	47.0		47.0
20200218	45.0		46.0
20200220	46.0		44.0
20200223	48.0		46.0
20200307	42.33		48.26
20200308	46.0		40.0
