date		Biden	Trump
20190126		53.3	40.3
20190310		53.7	46.3
20190321		45.0	46.0
20190430		45.0	42.0
20190530		53.3	41.4
20190613		46.0	43.0
20190717		49.0	36.0
20190821		51.0	41.0
20190909		42.0	41.0
20191025		45.39	44.07
20191103		55.8	44.2
20191205		40.87	46.28
20200107		50.1	43.2
20200112		50.0	44.0
20200218		47.0	43.0
20200220		47.0	43.0
20200307		44.34	46.49
20200308		48.0	41.0
20200309		44.1	45.5
