,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
22,1057,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.586834016,0.691577106,0.739349001,0.761892776,0.813674385,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Alabama
23,1059,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.551112312,0.626782949,0.688275036,0.69684133,0.786212625,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Franklin,Alabama
24,1061,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.68919343,0.792965779,0.807840782,0.810512367,0.849974485,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Geneva,Alabama
25,1067,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.584824005,0.663089254,0.645814061,0.642465753,0.697720515,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Henry,Alabama
26,1069,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.690956733,0.742355184,0.700946448,0.698268047,0.7206548,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Houston,Alabama
27,1075,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.616636777,0.710820625,0.765936396,0.761512699,0.835917313,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Lamar,Alabama
28,1077,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.543859103,0.597218854,0.631639723,0.647573394,0.705857052,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Lauderdale,Alabama
29,1081,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.586269078,0.627034297,0.593281178,0.592247834,0.584835532,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Lee,Alabama
30,1083,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.600998561,0.677673443,0.703347143,0.713359091,0.721372909,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Limestone,Alabama
31,1089,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.548465381,0.588828188,0.568774158,0.586125281,0.547894901,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Madison,Alabama
32,1093,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.587784961,0.697708738,0.771833266,0.801073936,0.868299445,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Marion,Alabama
33,1095,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.61038265,0.723476549,0.775704034,0.794294663,0.827755125,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Marshall,Alabama
