date	Sanders		Trump
20190519	48.6		51.4
20190617	48.0		42.0
20190915	49.5		50.5
20191026	43.94		44.87
20191216	44.0		49.0
20200112	52.9		47.1
20200218	48.0		48.0
20200222	48.8		40.2
20200307	47.3		52.7
