date	Sanders	Biden
20190317	38.9	23.5
20190418	20.0	24.0
20190529	13.1	28.3
20190704	19.0	18.0
20190811	24.0	20.0
20190829	20.0	28.0
20191002	21.0	19.5
20191015	10.0	17.0
20191017	17.0	31.0
20191026	20.0	23.0
20191117	17.0	30.0
20191208	19.0	23.0
20200108	21.0	23.0
20200112	19.0	23.0
20200120	28.4	21.8
20200220	29.8	12.9
20200223	29.0	15.0
