date	Sanders		Trump
20190126	52.0		41.2
20190310	52.5		47.5
20190321	45.0		46.0
20190418	52.0		41.0
20190530	53.2		41.3
20190613	44.0		44.0
20190717	48.0		37.0
20190821	48.0		44.0
20190909	40.0		43.0
20191025	45.62		42.39
20191103	56.9		43.1
20191205	41.84		47.56
20200107	49.0		44.8
20200112	50.0		45.0
20200218	48.0		43.0
20200220	48.0		41.0
20200307	41.17		47.64
20200308	46.0		41.0
20200309	45.5		43.4
