date	Sanders	Biden
20190328	20.4	39.0
20190410	16.0	28.0
20190514	13.0	39.0
20190529	14.9	46.0
20190804	12.0	28.0
20191006	6.0	17.0
20191015	14.0	27.0
20191025	14.0	28.0
20191027	12.0	30.0
20200120	20.5	31.3
20200126	15.0	22.0
20200220	25.0	20.0
