date	Sanders	Biden
20190304	8.0	18.5
20190321	13.0	37.0
20190508	16.0	39.0
20190519	11.6	39.2
20190529	18.3	34.4
20190611	16.0	32.0
20190617	17.0	37.0
20190623	8.0	47.4
20190915	14.4	34.0
20190918	8.0	34.666666666666664
20191026	13.0	27.0
20200112	15.5	41.5
20200123	19.0	35.0
20200128	9.4	41.3
20200213	10.4	25.9
20200218	13.0	20.0
20200219	11.4	26.5
20200221	18.0	22.0
20200222	16.7	24.6
20200226	13.0	33.8
20200304	11.9	61.2
