date	Sanders	Biden
20190310	23.3	39.6
20190510	16.0	37.0
20190529	18.3	27.3
20190717	16.0	35.0
20190924	12.0	27.0
20191015	15.0	19.0
20191025	17.0	30.0
20191103	27.6	33.5
20200120	21.6	27.0
20200220	25.0	16.0
20200302	22.5	29.2
