date		Biden	Trump
20190317		54.3	45.7
20190321		53.0	40.0
20190418		50.0	40.0
20190613		46.0	40.0
20190829		51.0	42.0
20190909		44.0	42.0
20191002		48.0	39.0
20191017		50.0	44.0
20191026		46.75	43.26
20191117		44.0	47.0
20191205		39.08	48.24
20191208		47.0	46.0
20200108		46.0	41.0
20200112		49.0	45.0
20200116		47.0	46.0
20200218		42.0	44.0
20200220		45.0	43.0
20200223		46.0	46.0
20200307		43.07	44.56
20200308		44.0	42.0
